Date,Open,High,Low,Close,Volume
2023-12-29,192.743,193.24,190.581,191.382,42928346
2023-12-28,192.981,193.499,192.018,192.424,34254329
2023-12-27,191.342,192.345,189.949,191.998,48376393
2023-12-26,192.454,192.733,191.679,191.898,29092938
2023-12-22,194.015,194.244,191.818,192.444,37372611
2023-12-21,194.93,195.904,192.345,193.519,46761624
2023-12-20,195.725,196.501,193.667,193.667,52556474
2023-12-19,194.99,195.775,194.721,195.765,40958493
2023-12-18,194.92,195.456,193.23,194.721,56086588
2023-12-15,196.351,197.216,195.825,196.391,129310130
2023-12-14,196.839,198.429,194.99,196.928,67232820
2023-12-13,193.925,196.819,193.687,196.779,70826881
2023-12-12,191.928,193.558,190.577,193.548,53013285
2023-12-11,191.958,192.335,190.277,192.027,61309597
2023-12-08,193.041,194.82,192.514,194.542,53727003
2023-12-07,192.474,193.836,192.434,193.11,47762705
2023-12-06,193.289,193.598,190.963,191.172,41336434
2023-12-05,189.076,193.24,189.046,192.266,67028426
2023-12-04,188.846,188.916,186.332,188.301,43650024
2023-12-01,189.195,190.417,188.101,190.098,45979229
2023-11-30,188.707,189.185,187.066,188.816,49087321
2023-11-29,189.761,190.944,187.841,188.241,43272476
2023-11-28,188.647,189.94,188.271,189.263,38646060
2023-11-27,188.786,189.532,187.772,188.657,40796081
2023-11-24,189.731,189.761,188.121,188.836,24192727
2023-11-22,190.347,191.779,189.686,190.168,39867944
2023-11-21,190.267,190.377,188.607,189.502,38363439
2023-11-20,188.756,190.759,188.746,190.307,46818026
2023-11-17,189.116,189.243,187.446,188.557,51247250
2023-11-16,188.438,189.821,187.524,188.577,54739603
2023-11-15,186.724,188.369,186.659,186.888,54113450
2023-11-14,186.58,186.987,185.188,186.321,60469261
2023-11-13,184.712,184.919,183.111,183.697,43889453
2023-11-10,182.873,185.452,182.434,185.287,66575246
2023-11-09,181.628,182.781,180.488,181.084,54157585
2023-11-08,181.024,182.116,180.269,181.558,49701908
2023-11-07,177.876,181.114,177.668,180.498,71046897
2023-11-06,175.097,178.125,174.928,177.926,64309218
2023-11-03,172.972,175.533,172.088,175.365,80414333
2023-11-02,174.243,176.487,174.183,176.278,77901556
2023-11-01,169.755,172.962,168.881,172.705,57352195
2023-10-31,168.117,169.655,166.678,169.527,45174704
2023-10-30,167.791,169.925,167.642,169.051,51505706
2023-10-27,165.696,167.731,165.617,166.996,58927883
2023-10-26,169.131,170.131,164.464,165.677,71142887
2023-10-25,170.629,171.801,169.407,169.855,57575879
2023-10-24,171.791,172.405,170.203,172.178,44137786
2023-10-23,169.665,172.745,168.693,171.741,56390400
2023-10-20,174.034,174.144,171.384,171.622,64714887
2023-10-19,174.759,176.547,173.914,174.183,59737507
2023-10-18,174.303,176.283,173.836,174.561,55165756
2023-10-17,175.36,177.122,173.529,175.862,57971142
2023-10-16,175.463,177.772,175.226,177.421,52901893
2023-10-13,180.1,180.605,176.844,177.548,51833215
2023-10-12,178.76,181.014,177.737,179.395,57159002
2023-10-11,176.903,178.541,176.307,178.491,47899611
2023-10-10,176.804,178.412,176.656,177.092,44018292
2023-10-09,175.523,177.747,174.521,177.687,42701464
2023-10-06,172.535,176.695,171.921,176.198,57686396
2023-10-05,172.525,174.173,171.424,173.638,48883590
2023-10-04,169.845,172.943,169.725,172.396,53408884
2023-10-03,171.002,172.366,169.577,171.145,49958103
2023-10-02,169.975,173.032,169.685,172.485,52546861
2023-09-29,170.769,171.811,169.102,169.965,52241185
2023-09-28,168.107,170.779,166.401,169.447,56707014
2023-09-27,171.364,171.781,167.82,169.191,67412293
2023-09-26,173.548,173.924,170.411,170.709,65062332
2023-09-25,172.933,175.683,172.883,174.798,46511151
2023-09-22,173.399,175.791,172.784,173.519,57141138
2023-09-21,173.279,175.018,172.595,172.665,63611951
2023-09-20,177.956,178.388,174.124,174.213,58864473
2023-09-19,176.228,178.323,175.842,177.767,52206793
2023-09-18,175.196,178.075,174.888,176.675,67750519
2023-09-15,175.196,175.211,172.555,173.737,110060249
2023-09-14,172.735,174.818,172.317,174.462,61342076
2023-09-13,175.226,176.009,172.715,172.943,84885547
2023-09-12,178.185,178.82,173.548,175.018,91032536
2023-09-11,178.76,178.988,176.049,178.055,59385133
2023-09-08,177.052,178.927,176.497,176.884,66082879
2023-09-07,173.905,176.913,172.278,176.268,113313260
2023-09-06,187.028,187.478,180.15,181.578,82355023
2023-09-05,186.909,188.597,186.245,188.321,45611895
2023-09-01,188.107,188.537,186.909,188.082,46101936
2023-08-31,186.474,187.744,186.115,186.504,61240044
2023-08-30,183.595,186.484,183.395,186.284,61259607
2023-08-29,178.388,183.555,178.194,182.781,53392426
2023-08-28,178.78,179.276,177.246,178.879,44141869
2023-08-25,176.089,177.846,174.541,177.311,51826680
2023-08-24,179.359,179.785,174.729,175.097,55348508
2023-08-23,177.221,180.229,177.027,179.801,53109169
2023-08-22,175.772,176.387,174.968,175.941,42392690
2023-08-21,173.796,174.848,172.47,174.561,46651309
2023-08-18,171.047,173.826,170.709,173.22,61620495
2023-08-17,175.852,176.214,172.218,172.735,66547072
2023-08-16,175.842,177.241,175.216,175.285,47309073
2023-08-15,177.578,178.175,175.762,176.159,43942313
2023-08-14,176.675,178.383,176.014,178.155,43995736
2023-08-11,176.029,177.321,175.265,176.497,52418061
2023-08-10,177.934,179.193,176.069,176.437,55162052
2023-08-09,179.312,179.371,175.484,176.656,60903150
2023-08-08,178.143,178.718,176.05,178.251,68412350
2023-08-07,180.561,181.551,175.823,177.31,98423956
2023-08-04,183.922,185.766,180.354,180.423,116964447
2023-08-03,189.921,190.712,189.048,189.523,62784144
2023-08-02,193.36,193.5,190.198,190.921,50827185
2023-08-01,194.544,195.037,193.598,193.919,35588003
2023-07-31,194.371,194.797,193.578,194.757,39161475
2023-07-28,192.992,194.933,192.467,194.144,48711071
2023-07-27,194.332,195.501,190.891,191.554,47872585
2023-07-26,192.003,193.954,191.654,192.825,47884374
2023-07-25,191.664,192.766,191.254,191.953,37607173
2023-07-24,191.744,193.231,190.594,191.09,45900513
2023-07-21,192.427,193.29,189.583,190.286,72576907
2023-07-20,193.41,194.777,190.836,191.466,60098926
2023-07-19,191.437,196.524,190.99,193.42,81206891
2023-07-18,191.684,192.657,190.757,192.061,48773944
2023-07-17,190.246,192.647,190.157,192.318,50959153
2023-07-14,188.59,189.533,187.996,189.048,41977866
2023-07-13,188.859,189.543,188.146,188.899,41701582
2023-07-12,188.046,190.048,186.846,188.136,61278137
2023-07-11,187.53,187.669,184.992,186.46,47043380
2023-07-10,187.629,188.355,185.424,186.985,60442856
2023-07-07,189.761,191.01,188.6,189.038,47221796
2023-07-06,188.206,190.366,187.57,190.157,45548392
2023-07-05,189.916,191.318,188.979,189.682,47327974
2023-07-03,192.111,192.21,190.107,190.801,31731554
2023-06-30,189.979,192.805,189.613,192.298,85953676
2023-06-29,187.453,188.432,187.313,187.956,46750042
2023-06-28,186.311,188.265,185.985,187.619,51661849
2023-06-27,184.288,186.767,184.07,186.44,51171671
2023-06-26,185.708,186.43,183.635,183.675,48506527
2023-06-23,183.952,185.945,183.416,185.072,53578556
2023-06-22,182.157,185.434,182.088,185.389,51690623
2023-06-21,183.307,183.813,181.018,182.374,49945963
2023-06-20,182.822,184.496,182.822,183.416,50231821
2023-06-16,185.121,185.379,182.683,183.327,102136090
2023-06-15,182.374,184.912,182.197,184.408,66001747
2023-06-14,181.791,182.802,180.453,182.364,57962205
2023-06-13,181.225,182.564,180.868,181.731,55406435
2023-06-12,179.709,182.306,179.411,182.207,55230788
2023-06-09,179.936,180.659,179.073,179.401,49324889
2023-06-08,176.362,179.282,175.932,179.013,50651223
2023-06-07,176.902,179.65,175.793,176.288,62482882
2023-06-06,178.414,178.568,175.902,177.666,65411873
2023-06-05,181.058,183.357,176.502,178.033,123006151
2023-06-02,179.471,180.215,177.715,179.391,62535635
2023-06-01,176.169,178.568,175.407,178.538,69500531
2023-05-31,175.798,177.805,175.238,175.723,100490981
2023-05-30,175.434,177.449,175.05,175.773,56450703
2023-05-26,171.827,174.256,171.619,173.917,55311463
2023-05-25,170.924,172.396,170.211,171.5,56545376
2023-05-24,169.616,170.933,169.051,170.359,45535762
2023-05-23,171.639,171.887,169.799,170.084,51188231
2023-05-22,172.48,173.204,171.957,172.7,43949541
2023-05-19,174.87,174.87,173.433,173.652,56294431
2023-05-18,171.51,173.731,171.094,173.543,66065790
2023-05-17,170.231,171.436,168.951,171.202,58455174
2023-05-16,170.508,171.647,170.318,170.587,42476210
2023-05-15,171.667,171.717,169.994,170.587,37590487
2023-05-12,172.124,172.56,169.526,171.084,45928798
2023-05-11,172.114,172.847,170.45,172.015,50014017
2023-05-10,171.292,172.294,170.185,171.822,54266297
2023-05-09,171.322,171.807,169.887,170.057,45783983
2023-05-08,170.759,172.114,170.391,171.767,56527162
2023-05-05,169.27,172.559,169.055,171.837,114597314
2023-05-04,163.245,165.372,162.669,164.136,82054663
2023-05-03,167.808,169.215,165.492,165.777,65792896
2023-05-02,168.393,168.649,165.867,166.857,48914055
2023-05-01,167.59,168.747,166.956,167.897,53002111
2023-04-28,166.808,168.153,166.204,167.985,55833292
2023-04-27,163.54,166.877,163.54,166.728,65556851
2023-04-26,161.427,163.629,161.174,162.124,45957638
2023-04-25,163.54,164.645,162.095,162.134,49205330
2023-04-24,163.353,163.947,162.254,163.679,42372630
2023-04-21,163.402,164.791,162.847,163.372,58925657
2023-04-20,164.431,166.194,163.907,164.986,52985385
2023-04-19,164.146,166.482,163.887,165.955,48201410
2023-04-18,164.441,165.739,163.997,164.809,50426467
2023-04-17,163.441,163.739,162.392,163.579,41934896
